Der Hund ist groß.|The dog is big.
Der Landkreis ist groß.|The district is large.
Sie gewann die Meisterschaft.|She won the championship.
Der Neubau ist fertig.|The new building is finished.
Der Sturm schädigte das Dach.|The storm damaged the roof.
Die Schau war beeindruckend.|The show was impressive.
Er unterstrich den Text.|He underlined the text.
Ich ziehe es vor zu lesen.|I prefer to read.
Die Bande ist gefährlich.|The gang is dangerous.
Er ist behindert.|He is handicapped.
Die Bemühung war erfolgreich.|The effort was successful.
Die Besetzung war perfekt.|The cast was perfect.
Das Bündel ist schwer.|The bundle is heavy.
Der Regen dämpfte den Lärm.|The rain dampened the noise.
Die FPÖ hat gewonnen.|The FPÖ has won.
Das Gift ist tödlich.|The poison is deadly.
Der Knopf ist lose.|The button is loose.
Er ist im zehnten Lebensjahr.|He is in his tenth year.
Die News sind spannend.|The news is exciting.
Das Profil ist wichtig.|The profile is important.
Die Siedlung ist alt.|The settlement is old.
Der Unterschied ist signifikant.|The difference is significant.
Die Stellungnahme ist kritisch.|The statement is critical.
Der Sturz war schmerzhaft.|The fall was painful.
Er war unbewusst.|He was unconscious.
Das war ein Verstoß.|That was a violation.
Das Ergebnis ist voraussichtlich.|The result is probable.
Er wurde gewürdigt.|He was appreciated.
Die Idee wurde zurückgewiesen.|The idea was rejected.
Der Abfall ist weg.|The waste is gone.
Er ist ein Demokrat.|He is a democrat.
Der Katalysator ist defekt.|The catalyst is defective.
Die Piste ist gefährlich.|The slope is dangerous.
Der Senat hat getagt.|The senate met.
Die Stasi war gefürchtet.|The Stasi was feared.
Sie streichelte die Katze.|She petted the cat.
Er ist überlegen.|He is superior.
Er füllt das Formular aus.|He fills out the form.
Die Betreuung ist gut.|The care is good.
Der Zug trifft pünktlich ein.|The train arrives on time.
Der Kuchen schmeckt gut.|The cake tastes good.
Der Nachwuchs ist gesichert.|The new generation is secured.
Er plädierte für Frieden.|He pleaded for peace.
Sie tröstete ihn.|She comforted him.
Die Ungleichheit nimmt zu.|Inequality is increasing.
Der Verteidiger ist stark.|The defender is strong.
Das Center ist modern.|The center is modern.
Der Halt war kurz.|The stop was short.
Das Handwerk ist alt.|The craft is old.
Die Hilfe war humanitär.|The help was humanitarian.
Das Intervall war lang.|The interval was long.
Er ist naiv.|He is naive.
Der Rentner reist gern.|The pensioner likes to travel.
Die Skala zeigt die Werte.|The scale shows the values.
Sie kam sogleich.|She came immediately.
Das Substantiv ist wichtig.|The noun is important.
Das Testament ist alt.|The will is old.
Algebra ist schwierig.|Algebra is difficult.
Er befördert die Waren.|He transports the goods.
Die Box ist laut.|The speaker is loud.
Das war gänzlich falsch.|That was entirely wrong.
Das Gremium tagt heute.|The committee meets today.
Er ging die Treppe hinunter.|He went down the stairs.
Ich habe es soeben gesehen.|I just saw it.
Fußball ist meine Sportart.|Soccer is my sport.
Tirol ist wunderschön.|Tyrol is beautiful.
Die Zuordnung ist korrekt.|The classification is correct.
Das Essen ist asiatisch.|The food is Asian.
Die Biografie ist spannend.|The biography is exciting.
Der Film war blutig.|The movie was bloody.
Der Erwerb war teuer.|The acquisition was expensive.
Das Hindernis ist groß.|The obstacle is big.
Inwieweit stimmt das?|To what extent is that true?
Das Gebäude ist römisch.|The building is Roman.
Er ist weitaus besser.|He is much better.
Die Wiedervereinigung war historisch.|The reunification was historic.
Die Abfahrt verzögert sich.|The departure is delayed.
Er hat eine Anleihe aufgenommen.|He took out a loan.
Der Schaden ist auswärtig.|The damage is external.
Das Material ist elastisch.|The material is elastic.
Der Gefangene entkam.|The prisoner escaped.
Der Herausgeber ist bekannt.|The publisher is well-known.
Das Kinn ist verletzt.|The chin is injured.
Die Daten nahelegen etwas anderes.|The data suggest something else.
Sie studiert Naturwissenschaft.|She studies natural science.
Seitens des Unternehmens.|On the part of the company.
Das Wort ist verbal.|The word is verbal.
Die Versuchsperson ist bereit.|The test subject is ready.
Die Wanderung war lang.|The hike was long.
Der Zeigefinger schmerzt.|The index finger hurts.
Ich esse zwischendurch.|I eat occasionally.
Der Autofahrer fährt schnell.|The driver drives fast.
Er benimmt sich schlecht.|He behaves badly.
Das war ein Einzelfall.|That was an individual case.
Das ist eine gängige Praxis.|That is a common practice.
Der Jäger ist erfolgreich.|The hunter is successful.
Er ist kommunikativ.|He is communicative.
Der Kongress war spannend.|The congress was exciting.
Letzterer ist besser.|The latter is better.
Die Häuser stehen nebeneinander.|The houses stand side by side.
Die Passage ist lang.|The passage is long.
Das Wasser strömt schnell.|The water flows quickly.
Das Buch ist zeitgenössisch.|The book is contemporary.
Die Tasse ist zerbrochen.|The cup is broken.
Der Aufsatz ist fertig.|The essay is finished.
Brandenburg ist eine Region.|Brandenburg is a region.
Das Diagramm ist komplex.|The diagram is complex.
Die Erleichterung war groß.|The relief was great.
Der Historiker schreibt ein Buch.|The historian writes a book.
Die Idee ist innovativ.|The idea is innovative.
Die Entscheidung war kollektiv.|The decision was collective.
Er ist nüchtern.|He is sober.
Das Problem ist ungeheuer.|The problem is tremendous.
Das ist ein Vorurteil.|That is a prejudice.
Die Warnung war rechtzeitig.|The warning was timely.
Das Zeugnis ist wichtig.|The certificate is important.
Er macht das Licht an.|He turns on the light.
Die App ist nützlich.|The app is useful.
Die derzeitig Lage.|The current situation.
Das Buch bietet Einblick.|The book provides insight.
Er gibt die Daten ein.|He enters the data.
Die Evolution ist faszinierend.|Evolution is fascinating.
Der Baum ist gigantisch.|The tree is gigantic.
Die Nervenzelle ist aktiv.|The neuron is active.
Das war überflüssig.|That was unnecessary.
Er teilt die Arbeit ein.|He organizes the work.
Die Feststellung ist korrekt.|The assessment is correct.
Der Bus fährt los.|The bus departs.
Die Pistole ist geladen.|The pistol is loaded.
Er schaltet das Licht aus.|He switches off the light.
Das Land war sowjetisch.|The country was Soviet.
Er wurde überführt.|He was transferred.
Der Vertrag ist verbindlich.|The contract is binding.
Anstelle von Wasser.|Instead of water.
Er beleidigte ihn.|He insulted him.
Der Diener ist fleißig.|The servant is diligent.
Das ist konventionell.|That is conventional.
Das Neutron ist neutral.|The neutron is neutral.
Die Änderung ist organisatorisch.|The change is organizational.
Die Frucht ist reif.|The fruit is ripe.
Der Stab ist lang.|The staff is long.
Das Auto überholt uns.|The car overtakes us.
Die Arbeit geht voran.|The work progresses.
Er wohnt anderswo.|He lives elsewhere.
Die Haut ist empfindlich.|The skin is sensitive.
Finanzen sind wichtig.|Finances are important.
Das Kind ist hilflos.|The child is helpless.
Das ist Mist.|That is crap.
Der Fluss mündet ins Meer.|The river flows into the sea.
Er studiert Physiologie.|He studies physiology.
Das Porträt ist schön.|The portrait is beautiful.
Die Premiere war erfolgreich.|The premiere was successful.
Er erhält Schadenersatz.|He receives compensation.
Der Schrei war laut.|The scream was loud.
Ihre Schwangerschaft verläuft gut.|Her pregnancy is going well.
Der Staatsanwalt spricht.|The public prosecutor speaks.
Der Transfer war erfolgreich.|The transfer was successful.
Er verkürzt die Wartezeit.|He shortens the waiting time.
Er beugt einer Krankheit vor.|He prevents an illness.
Das Buch ist witzig.|The book is funny.
Die Annäherung war schwierig.|The approach was difficult.
Der Wind bläst stark.|The wind blows hard.
Das Exemplar ist selten.|The copy is rare.
Der Fond ist gesichert.|The fund is secured.
Die Logik ist klar.|The logic is clear.
Der Müll stinkt.|The garbage stinks.
Seine Entscheidung war rational.|His decision was rational.
Das Fest war ein Vergnügen.|The festival was a pleasure.
Das Wasser fließt fließend.|The water flows fluidly.
Er konsumiert viel Zucker.|He consumes a lot of sugar.
Die Forschung ist naturwissenschaftlich.|The research is scientific.
Er studiert Ökonomie.|He studies economics.
Das Festival war toll.|The festival was great.
Er legt sich hin.|He lies down.
Der Landwirt arbeitet hart.|The farmer works hard.
Der Laptop ist neu.|The laptop is new.
Die Glocke läutet laut.|The bell rings loudly.
Seine Neugier war groß.|His curiosity was great.
Er schrieb eine Notiz.|He wrote a note.
Die Rakete ist bereit.|The rocket is ready.
Der Rasen ist grün.|The lawn is green.
Er verwirklicht seinen Traum.|He fulfills his dream.
Er befestigt das Poster.|He attaches the poster.
Der Datensatz ist groß.|The data set is large.
Er duldet keinen Widerspruch.|He tolerates no contradiction.
Das Wasser durchläuft den Filter.|The water goes through the filter.
Die Nachricht erschütterte ihn.|The news shook him.
Das Team arbeitet gleichermaßen.|The team works equally.
Er kam gleichwohl.|He came nevertheless.
Die Kabine ist klein.|The cabin is small.
Die Methode ist pädagogisch.|The method is pedagogical.
Die Schokolade ist lecker.|The chocolate is delicious.
Der Sekretär ist pünktlich.|The secretary is punctual.
Er signalisiert das Ende.|He signals the end.
Er übernachtet im Hotel.|He stays overnight in the hotel.
Die Schule veranstaltet ein Fest.|The school organizes a festival.
Die Verstärkung ist unterwegs.|The reinforcement is on the way.
Er weist die Aufgabe zu.|He assigns the task.
Die Bearbeitung dauert lange.|The processing takes long.
Das Team hat sie besiegt.|The team defeated them.
Der Bürgerkrieg war blutig.|The civil war was bloody.
Derweil lese ich ein Buch.|Meanwhile, I read a book.
Der Lastwagen ist groß.|The truck is big.
Die Soldaten marschieren schnell.|The soldiers march quickly.
Der Vogel pfeift laut.|The bird whistles loudly.
Er überquerte die Straße.|He crossed the street.
Er ist ein Arschloch.|He is an asshole.
Ihre Behauptung war falsch.|Her claim was false.
Die Berührung war sanft.|The touch was gentle.
Der Diskurs war interessant.|The discourse was interesting.
Der Chef ist dominant.|The boss is dominant.
Die Inflationsrate steigt.|The inflation rate rises.
Die Kreativität ist wichtig.|Creativity is important.
Der Arzt operiert den Patienten.|The doctor operates on the patient.
Die Biene sticht mich.|The bee stings me.
Der Tempel ist alt.|The temple is old.
Das Verb ist konjugiert.|The verb is conjugated.
Die Verlängerung war nötig.|The extension was necessary.
Er hat die Namen verwechselt.|He confused the names.
Der Sturm beschädigte das Dach.|The storm damaged the roof.
Das Tier ist giftig.|The animal is poisonous.
Er brachte ein Lied hervor.|He created a song.
Das Argument ist hinreichend.|The argument is sufficient.
Er knüpft neue Kontakte.|He establishes new contacts.
Er lässt das Seil los.|He lets go of the rope.
Der Wind lässt nach.|The wind is decreasing.
Das Geschäft ist nebenan.|The shop is next door.
Das TV ist kaputt.|The TV is broken.
Er fühlt sich bestens.|He feels very well.
Die Dusche ist kalt.|The shower is cold.
Wir wohnen in der dritten Etage.|We live on the third floor.
Die Fachhochschule ist groß.|The technical college is large.
Der Fotograf ist berühmt.|The photographer is famous.
Das Kind ist gehörlos.|The child is deaf.
Der Klimawandel ist real.|Climate change is real.
Der Mythos ist alt.|The myth is old.
Er wohnt nirgends.|He lives nowhere.
Portugal ist ein Land.|Portugal is a country.
Der Stoffwechsel ist schnell.|The metabolism is fast.
Wir verabreden ein Treffen.|We arrange a meeting.
Seine Amtszeit endet bald.|His term of office ends soon.
Er ist ein Berliner.|He is a Berliner.
Das Klima ist familiär.|The climate is familial.
Die Reichweite ist groß.|The range is large.
Der Riese ist stark.|The giant is strong.
Die Tageszeitung ist informativ.|The daily newspaper is informative.
Die Technologie ist fortgeschritten.|The technology is advanced.
Das Buch vertieft sein Wissen.|The book deepens his knowledge.
Das Artefakt ist antik.|The artifact is antique.
Die Ausstattung ist teuer.|The equipment is expensive.
Er begünstigt seine Freunde.|He favors his friends.
Die Bedingungen sind gesundheitlich.|The conditions are sanitary.
Der Vorschlag ist konstruktiv.|The suggestion is constructive.
Die Verbindlichkeit ist hoch.|The obligation is high.
Er treibt das Projekt voran.|He pushes the project forward.
Er greift auf alte Daten zurück.|He falls back on old data.
Er ließ seine Sachen zurück.|He left his things behind.
Sie grenzt sich von den anderen ab.|She differentiates herself from the others.
Die Aufwendungen waren hoch.|The expenses were high.
Er denkt sich eine Geschichte aus.|He makes up a story.
Er ist sehr fähig.|He is very able.
Sie füttert die Vögel.|She feeds the birds.
Der Gesetzgeber beschließt neue Gesetze.|The legislator enacts new laws.
Er koppelt das Gerät an.|He links the device.
Der Senior geht spazieren.|The senior citizen goes for a walk.
Das Studio ist modern.|The studio is modern.
Die Verbreitung der Nachrichten war schnell.|The dissemination of the news was quick.
Er addiert die Zahlen.|He adds the numbers.
Er tritt aus dem Verein aus.|He resigns from the club.
Bekanntlich ist Wissen Macht.|As is well known, knowledge is power.
Der Main fließt durch Frankfurt.|The Main flows through Frankfurt.
Neuerdings liest er viel.|Recently, he reads a lot.
Die Pension ist gemütlich.|The guesthouse is cozy.
Er nimmt Rücksicht auf andere.|He takes others into consideration.
Saudi-Arabien ist ein Land.|Saudi Arabia is a country.
Der Triumph war groß.|The triumph was great.
Unterdessen machte er eine Pause.|Meanwhile, he took a break.
Er tat es des Friedens willen.|He did it for the sake of peace.
Der Atomkern ist klein.|The atomic nucleus is small.
Das war ausgesprochen lecker.|That was exceptionally delicious.
Er ruft den Gewinner aus.|He calls out the winner.
Sie bewaffnen die Soldaten.|They arm the soldiers.
Der Enkel besucht seine Großeltern.|The grandson visits his grandparents.
Die Legende lebt weiter.|The legend lives on.
Die Pflege ist wichtig.|Care is important.
